ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
-1,Agriculture output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Utilities output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Utilities Office Support,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Construction of Buildings output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Construction of Buildings Office Support,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Construction Non-Building (including mining) output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Construction Non-Building (including mining) Office Support,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Manufacturing output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Manufacturing Office Support,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Wholesale and Warehousing output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Transportation Activity output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Retail Activity output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Professional and Business Services output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Professional and Business Services (Building Maintenance) output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Private Education K-12 output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Private Education Post K-12 and Other output,1,1,FALSE,1.00E+07,1,1.00E+07,1,1.00E+07,1.00E+07,10,-1.00E+07,-1.00E+07,10,FALSE
-1,Health Services output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Amusement Services (events tracks theme parks country clubs) output,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
